origpathname,unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
"Cerambycidae, Lamiinae/Dermagogus larvatus 53086cz89.jpg",772,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/772.jpg,Dermagogus larvatus,Dermagogus larvatus,Cerambycidae,Lamiinae,Dermagogus,larvatus,,AT,ET,Ethiopia,,,,Dorsal
"Cerambycidae, Lamiinae/Dermagogus larvatus donaldsoni 53090cz93.jpg",773,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/773.jpg,Dermagogus larvatus donaldsoni,Dermagogus larvatus donaldsoni,Cerambycidae,Lamiinae,Dermagogus,larvatus,donaldsoni,AT,ET,Ethiopia,,Harar,,Dorsal
"Cerambycidae, Lamiinae/Dermagogus larvatus maculatus 53094cz96.jpg",774,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/774.jpg,Dermagogus larvatus maculatus,Dermagogus larvatus maculatus,Cerambycidae,Lamiinae,Dermagogus,larvatus,maculatus,AT,ET,Ethiopia,,Harar,,Dorsal
"Cerambycidae, Lamiinae/Despages granulosa 55576cz82.JPG",775,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/775.jpg,Despages granulosa,Despages granulosa,Cerambycidae,Lamiinae,Despages,granulosa,,AU,AU,Australia,New South Wales ,,,Dorsal
"Cerambycidae, Lamiinae/Despages granulosa 55583cz89.jpg",776,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/776.jpg,Despages granulosa,Despages granulosa,Cerambycidae,Lamiinae,Despages,granulosa,,AU,AU,Australia,New South Wales ,,,Lateral
"Cerambycidae, Lamiinae/Dinocephalus ornatus 52600cz07.jpg",777,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/777.jpg,Dinocephalus ornatus,Dinocephalus ornatus,Cerambycidae,Lamiinae,Dinocephalus,ornatus,,AT,MZ,Mozambique,,Machambane,04/1914,Dorsal
"Cerambycidae, Lamiinae/Dinocephalus ornatus 52608cz17.jpg",778,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/778.jpg,Dinocephalus ornatus,Dinocephalus ornatus,Cerambycidae,Lamiinae,Dinocephalus,ornatus,,AT,MZ,Mozambique,,Machambane,04/1914,Lateral
"Cerambycidae, Lamiinae/Doractypus funerarius 56204cz10.jpg",779,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/779.jpg,Doractypus funerarius,Doractypus funerarius,Cerambycidae,Lamiinae,Doractypus,funerarius,,PA,GR,Greece,Parnassos ,,,Dorsal
"Cerambycidae, Lamiinae/Dorcadion ganglebaueri 56167cz70.jpg",780,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/780.jpg,Dorcadion ganglebaueri,Dorcadion ganglebaueri,Cerambycidae,Lamiinae,Dorcadion,ganglebaueri,,PA,BA,Bosnia and Herzegovina ,Herzegovina ,,,Dorsal
"Cerambycidae, Lamiinae/Emphreus pachystoloides 55714cz19.jpg",781,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/781.jpg,Emphreus pachystoloides,Emphreus pachystoloides,Cerambycidae,Lamiinae,Emphreus,pachystoloides,,AT,TZ,"Tanzania, United Republic of ",Lindi,,,Dorsal
