filename,processed,interpreted_scientific_name
/home/nnoe/openup_images_source/Buprestidae/Polybothris hildebrandti 40021cz25.jpg,true,Polybothris hildebrandti
/home/nnoe/openup_images_source/Buprestidae/Polybothris hildebrandti 40047cz50.jpg,true,Polybothris hildebrandti
/home/nnoe/openup_images_source/Buprestidae/Polybothris lellievri confinis 40026cz30.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris luctuosi confluans 40051cz53.jpg,true,Polybothris luctuosi confluans
/home/nnoe/openup_images_source/Buprestidae/Polybothris luctuozi fulgurans 40031cz35.jpg,true,Polybothris luctuozi fulgurans
/home/nnoe/openup_images_source/Buprestidae/Polybothris navicularis 40042cz46.jpg,true,Polybothris navicularis
/home/nnoe/openup_images_source/Buprestidae/Polybothris navicularis 40058cz60.jpg,true,Polybothris navicularis
/home/nnoe/openup_images_source/Buprestidae/Polybothris obtusa 40036cz41.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris obtusa 40054cz57.jpg,true,Polybothris obtusa
/home/nnoe/openup_images_source/Buprestidae/Polybothris ochreata  40090cz93.jpg,true,Polybothris ochreata
/home/nnoe/openup_images_source/Buprestidae/Polybothris ochreata 40090cz93.jpg,true,Polybothris ochreata
/home/nnoe/openup_images_source/Buprestidae/Polybothris ochreata stellata 40094cz96.jpg,true,Polybothris ochreata stellata
/home/nnoe/openup_images_source/Buprestidae/Polybothris ochreata stellata 40097cz99.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris scapularis 40073cz78.jpg,true,Polybothris scapularis
/home/nnoe/openup_images_source/Buprestidae/Polybothris scapularis 40100cz02.jpg,true,Polybothris scapularis
/home/nnoe/openup_images_source/Buprestidae/Polybothris semipolita 0079cz84.jpg,true,Polybothris semipolita
/home/nnoe/openup_images_source/Buprestidae/Polybothris semipolita 40103cz05.jpg,true,Polybothris semipolita
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40106cz08.psd,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40113cz16.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40125cz29.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40134cz38.jpg,true,Polybothris sumptuosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40139cz42.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40143cz46.jpg,true,Polybothris sumptuosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa 40147cz50.jpg,true,Polybothris sumptuosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40130cz33 .jpg,true,Polybothris sumptuosa gloriosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40151cz54.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40155cz58 .jpg,true,Polybothris sumptuosa gloriosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40159cz62.jpg,true,Polybothris sumptuosa gloriosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40163cz67.jpg,true,Polybothris sumptuosa gloriosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa gloriosa 40176cz78.jpg,true,Polybothris sumptuosa gloriosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa morosa 40172cz75.jpg,true,Polybothris sumptuosa morosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa morosa 40183cz86.jpg,true,Polybothris sumptuosa morosa
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa superba 40168cz71.jpg,true,Polybothris sumptuosa superba
/home/nnoe/openup_images_source/Buprestidae/Polybothris sumptuosa superba 40179cz82.jpg,true,Polybothris sumptuosa superba
/home/nnoe/openup_images_source/Buprestidae/Polybothris zygaena 40001cz04.jpg,true,Polybothris zygaena
/home/nnoe/openup_images_source/Buprestidae/Polymorphis amorpha 39910cz16.jpg,true,Polymorphis amorpha
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia ajax 42302.jpg,true,Pseudotaenia ajax
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia ajax 42324cz28.jpg,true,Pseudotaenia ajax
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia gigas 42304cz05.jpg,true,Pseudotaenia gigas
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia gigas 42329.jpg,true,Pseudotaenia gigas
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia quadrisignata 42310cz13.jpg,true,Pseudotaenia quadrisignata
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia quadrisignata 42314cz16 copie.jpg,true,Pseudotaenia quadrisignata
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia salamandra 42317cz20.jpg,true,Pseudotaenia salamandra
/home/nnoe/openup_images_source/Buprestidae/Pseudotaenia salamandra 42321cz23.jpg,true,Pseudotaenia salamandra
/home/nnoe/openup_images_source/Buprestidae/Psiloptera (Lampetis) fastuosa coerulescens 39852cz56.jpg,true,Psiloptera (Lampetis) fastuosa coerulescens
/home/nnoe/openup_images_source/Buprestidae/Psiloptera (Lampetis) tucomana 39846cz51.jpg,true,Psiloptera (Lampetis) tucomana
/home/nnoe/openup_images_source/Buprestidae/Psiloptera attenuata 39822cz26.jpg,true,Psiloptera attenuata
/home/nnoe/openup_images_source/Buprestidae/Psiloptera equestris 39827cz31.jpg,true,Psiloptera equestris
/home/nnoe/openup_images_source/Buprestidae/Psiloptera hirtomaculata 39836cz40.jpg,true,Psiloptera hirtomaculata
/home/nnoe/openup_images_source/Buprestidae/Psiloptera hoffmanni 39832cz35.jpg,true,Psiloptera hoffmanni
/home/nnoe/openup_images_source/Buprestidae/Psiloptera nigroviolacea 39841cz45 .jpg,true,Psiloptera nigroviolacea
/home/nnoe/openup_images_source/Buprestidae/Steraspis ambigua 39746cz48.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Steraspis ambigua aeruginosa 39749cz51.jpg,true,Steraspis ambigua aeruginosa
/home/nnoe/openup_images_source/Buprestidae/Steraspis ambigua aeruginosa 39752cz55 copie.jpg,true,Steraspis ambigua aeruginosa
/home/nnoe/openup_images_source/Buprestidae/Steraspis argodi 329776cz80.jpg,true,Steraspis argodi
/home/nnoe/openup_images_source/Buprestidae/Steraspis argodi 39756cz58.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Steraspis colossa 39759cz62.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Steraspis lemoulti 39766cz68.jpg,true,Steraspis lemoulti
/home/nnoe/openup_images_source/Buprestidae/Steraspis lemoulti 39769cz72.jpg,true,Steraspis lemoulti
/home/nnoe/openup_images_source/Buprestidae/Steraspis lesnei 39763cz65.JPG,false
/home/nnoe/openup_images_source/Buprestidae/Steraspis lesnei 39773cz75 copie.jpg,true,Steraspis lesnei
/home/nnoe/openup_images_source/Buprestidae/Steraspis squamosa 39781cz84.jpg,true,Steraspis squamosa
