unitid,format,licenseuri,fileuri,scientificname,typifiedname,family,subfamily,genus,species,subspecies,zoogeoregion,countrycode,country,province,station,eventdate,view
80,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/80.jpg,Chrysochroa vittata,Chrysochroa vittata,Buprestidae,"",Chrysochroa,vittata,,OL,TH,Thailand,Loei ,Na Haeo,05/05/2001,Ventral
81,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/81.jpg,Chrysodema lottinii,Chrysodema lottinii,Buprestidae,"",Chrysodema,lottinii,,AU,PG,Papua New Guinea,,,,Dorsal
82,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/82.jpg,Chrysodema mniszechi,Chrysodema mniszechi,Buprestidae,"",Chrysodema,mniszechi,,OL,PH,Philippines,Mindanao ,,,Dorsal
83,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/83.jpg,Chrysodema radians,Chrysodema radians,Buprestidae,"",Chrysodema,radians,,OL,,,,,,Dorsal
84,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/84.jpg,Chrysodema smaragdula aurifera,Chrysodema smaragdula aurifera,Buprestidae,"",Chrysodema,smaragdula,aurifera,OL,,Indonesia,Maluku ,Ternate ,,Dorsal
85,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/85.jpg,Colobogaster semisuturalis,Colobogaster semisuturalis,Buprestidae,"",Colobogaster,semisuturalis,,NT,BR,Brazil,Amazonas,,,Ventral
86,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/86.jpg,Conognatha iris,Conognatha iris,Buprestidae,"",Conognatha,iris,,NT,GF,French Guiana,,Cayenne,,Dorsal
87,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/87.jpg,Conognatha vulnerata,Conognatha vulnerata,Buprestidae,"",Conognatha,vulnerata,,NT,,,,,,Dorsal
88,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/88.jpg,Curis caloptera,Curis caloptera,Buprestidae,"",Curis,caloptera,,AU,AU,Australia,New South Wales ,Manly,12/1932,Dorsal
89,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/89.jpg,Curis caloptera,Curis caloptera,Buprestidae,"",Curis,caloptera,,AU,AU,Australia,New South Wales ,Manly,12/1932,Dorsal
90,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/90.jpg,Curis viridicyanea,Curis viridicyanea,Buprestidae,"",Curis,viridicyanea,,AU,AU,Australia,Queensland ,Millmerran ,,Dorsal
91,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/91.jpg,Curis viridicyanea,Curis viridicyanea,Buprestidae,"",Curis,viridicyanea,,AU,AU,Australia,Queensland ,Millmerran ,,Dorsal
92,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/92.jpg,Curis viridicyanea,Curis viridicyanea,Buprestidae,"",Curis,viridicyanea,,AU,AU,Australia,Queensland ,Millmerran ,,Dorsal
93,image/jpeg,http://creativecommons.org/licenses/by-sa/3.0/,http://projects.biodiversity.be/openup/rbins/93.jpg,Cyphogastra albertii,Cyphogastra albertii,Buprestidae,"",Cyphogastra,albertii,,AU,PG,Papua New Guinea,,,,Dorsal
